"VMName","PrimaryServer","ReplicaServer","ReplicationHealth","ReplicationMode","LastReplicationTime","RTOComplianceStatus","PSComputerName","RunspaceId","PSShowComputerName"
"JHSDCAGRIAPP01","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","3/18/2025 11:47:51 AM","Compliant","DR-HV01-184-11.jharkhandcloud.gov.in","a6c58953-385d-49a0-a556-ead34e3856da","True"
"JHSDCAPDSAPP2","JHSDCR29WEB03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","3/18/2025 11:43:57 AM","Compliant","DR-HV01-184-11.jharkhandcloud.gov.in","a6c58953-385d-49a0-a556-ead34e3856da","True"
"JHSDCAYSHAPP01","JHSDCR30WEB01.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","3/18/2025 11:47:14 AM","Compliant","DR-HV01-184-11.jharkhandcloud.gov.in","a6c58953-385d-49a0-a556-ead34e3856da","True"
"JHSDCBOREAPP01","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","3/18/2025 11:51:41 AM","Compliant","DR-HV01-184-11.jharkhandcloud.gov.in","a6c58953-385d-49a0-a556-ead34e3856da","True"
"JHSDCBPMSWEB01","JHSDCR29WEB02.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","3/18/2025 11:46:51 AM","Compliant","DR-HV01-184-11.jharkhandcloud.gov.in","a6c58953-385d-49a0-a556-ead34e3856da","True"
"JHSDCCLMSAPP01","JHSDCR29WEB03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","3/18/2025 11:43:43 AM","Compliant","DR-HV01-184-11.jharkhandcloud.gov.in","a6c58953-385d-49a0-a556-ead34e3856da","True"
"JHSDCCQBEAPP02","JHSDCR30WEB01.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","3/18/2025 11:42:30 AM","Compliant","DR-HV01-184-11.jharkhandcloud.gov.in","a6c58953-385d-49a0-a556-ead34e3856da","True"
"JHSDCCTAXAPI01","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","3/18/2025 11:50:39 AM","Compliant","DR-HV01-184-11.jharkhandcloud.gov.in","a6c58953-385d-49a0-a556-ead34e3856da","True"
"JHSDCCTAXAPP01","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","3/18/2025 11:50:16 AM","Compliant","DR-HV01-184-11.jharkhandcloud.gov.in","a6c58953-385d-49a0-a556-ead34e3856da","True"
"JHSDCCTAXAPP02","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","3/18/2025 11:49:44 AM","Compliant","DR-HV01-184-11.jharkhandcloud.gov.in","a6c58953-385d-49a0-a556-ead34e3856da","True"
"JHSDCCTAXESV01","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","3/18/2025 11:50:46 AM","Compliant","DR-HV01-184-11.jharkhandcloud.gov.in","a6c58953-385d-49a0-a556-ead34e3856da","True"
"JHSDCCTAXMIS01","JHSDCR30APP03.jharkhandcloud.gov.in","DR-HV01-184-11.jharkhandcloud.gov.in","Normal","Replica","3/18/2025 11:50:48 AM","Compliant","DR-HV01-184-11.jharkhandcloud.gov.in","a6c58953-385d-49a0-a556-ead34e3856da","True"
